inicio de conexion;cliente1; 1688921424
inicio de conexion;cliente2; 1688921425
inicio de conexion;cliente3; 1688921427
f19e5ae8-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; ini; 1688921529; cliente1; 1688921529
f19e5ae8-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; fin; 1688921529; cliente1; 1688921529
f1a0000a-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; ini; 1688921529; cliente3; 1688921529
f1a0000a-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; fin; 1688921529; cliente3; 1688921529
f19f2112-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; ini; 1688921529; cliente2; 1688921529
f19f2112-1e78-11ee-a424-557cb373497c; 1688921529; buscar por productos; fin; 1688921529; cliente2; 1688921529
f475ddae-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; ini; 1688921534; cliente1; 1688921534
f475ddae-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; fin; 1688921534; cliente1; 1688921534
f4770cd8-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; ini; 1688921534; cliente3; 1688921534
f4770cd8-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; fin; 1688921534; cliente3; 1688921534
f4767778-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; ini; 1688921534; cliente2; 1688921534
f4767778-1e78-11ee-a424-557cb373497c; 1688921534; buscar por productos; fin; 1688921534; cliente2; 1688921534
f76f3d8e-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; ini; 1688921539; cliente1; 1688921539
f76f3d8e-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; fin; 1688921539; cliente1; 1688921539
f770850e-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; ini; 1688921539; cliente3; 1688921539
f770850e-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; fin; 1688921539; cliente3; 1688921539
f76fff76-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; ini; 1688921539; cliente2; 1688921539
f76fff76-1e78-11ee-a424-557cb373497c; 1688921539; buscar por productos; fin; 1688921539; cliente2; 1688921539
fa35da5a-1e78-11ee-a424-557cb373497c; 1688921543; buscar por productos; ini; 1688921543; cliente2; 1688921543
fa35da5a-1e78-11ee-a424-557cb373497c; 1688921543; buscar por productos; fin; 1688921543; cliente2; 1688921543
fa355aee-1e78-11ee-a424-557cb373497c; 1688921543; buscar por productos; ini; 1688921544; cliente1; 1688921544
fa355aee-1e78-11ee-a424-557cb373497c; 1688921543; buscar por productos; fin; 1688921544; cliente1; 1688921544
fa36b7cc-1e78-11ee-a424-557cb373497c; 1688921543; buscar por productos; ini; 1688921544; cliente3; 1688921544
fa36b7cc-1e78-11ee-a424-557cb373497c; 1688921543; buscar por productos; fin; 1688921544; cliente3; 1688921544
fd09676a-1e78-11ee-a424-557cb373497c; 1688921548; buscar por productos; ini; 1688921548; cliente1; 1688921548
fd09676a-1e78-11ee-a424-557cb373497c; 1688921548; buscar por productos; fin; 1688921548; cliente1; 1688921548
fd0a5e22-1e78-11ee-a424-557cb373497c; 1688921548; buscar por productos; ini; 1688921548; cliente3; 1688921548
fd0a5e22-1e78-11ee-a424-557cb373497c; 1688921548; buscar por productos; fin; 1688921548; cliente3; 1688921548
fd09e17c-1e78-11ee-a424-557cb373497c; 1688921548; buscar por productos; ini; 1688921549; cliente2; 1688921549
fd09e17c-1e78-11ee-a424-557cb373497c; 1688921548; buscar por productos; fin; 1688921549; cliente2; 1688921549
ff91d904-1e78-11ee-a424-557cb373497c; 1688921552; buscar por productos; ini; 1688921553; cliente2; 1688921553
ff91d904-1e78-11ee-a424-557cb373497c; 1688921552; buscar por productos; fin; 1688921553; cliente2; 1688921553
ff9128b0-1e78-11ee-a424-557cb373497c; 1688921552; buscar por productos; ini; 1688921553; cliente1; 1688921553
ff9128b0-1e78-11ee-a424-557cb373497c; 1688921552; buscar por productos; fin; 1688921553; cliente1; 1688921553
ff927300-1e78-11ee-a424-557cb373497c; 1688921552; buscar por productos; ini; 1688921553; cliente3; 1688921553
ff927300-1e78-11ee-a424-557cb373497c; 1688921552; buscar por productos; fin; 1688921553; cliente3; 1688921553
01996596-1e79-11ee-a424-557cb373497c; 1688921556; buscar por productos; ini; 1688921556; cliente1; 1688921556
01996596-1e79-11ee-a424-557cb373497c; 1688921556; buscar por productos; fin; 1688921556; cliente1; 1688921556
019a8958-1e79-11ee-a424-557cb373497c; 1688921556; buscar por productos; ini; 1688921556; cliente3; 1688921556
019a8958-1e79-11ee-a424-557cb373497c; 1688921556; buscar por productos; fin; 1688921556; cliente3; 1688921556
019a0c9e-1e79-11ee-a424-557cb373497c; 1688921556; buscar por productos; ini; 1688921557; cliente2; 1688921557
019a0c9e-1e79-11ee-a424-557cb373497c; 1688921556; buscar por productos; fin; 1688921557; cliente2; 1688921557
040643e4-1e79-11ee-a424-557cb373497c; 1688921560; buscar por productos; ini; 1688921560; cliente1; 1688921560
040643e4-1e79-11ee-a424-557cb373497c; 1688921560; buscar por productos; fin; 1688921560; cliente1; 1688921560
0407522a-1e79-11ee-a424-557cb373497c; 1688921560; buscar por productos; ini; 1688921560; cliente3; 1688921560
0407522a-1e79-11ee-a424-557cb373497c; 1688921560; buscar por productos; fin; 1688921560; cliente3; 1688921560
0406c1ac-1e79-11ee-a424-557cb373497c; 1688921560; buscar por productos; ini; 1688921561; cliente2; 1688921561
0406c1ac-1e79-11ee-a424-557cb373497c; 1688921560; buscar por productos; fin; 1688921561; cliente2; 1688921561
065528c2-1e79-11ee-a424-557cb373497c; 1688921564; buscar por productos; ini; 1688921564; cliente1; 1688921564
065528c2-1e79-11ee-a424-557cb373497c; 1688921564; buscar por productos; fin; 1688921564; cliente1; 1688921564
06565b2a-1e79-11ee-a424-557cb373497c; 1688921564; buscar por productos; ini; 1688921564; cliente3; 1688921564
06565b2a-1e79-11ee-a424-557cb373497c; 1688921564; buscar por productos; fin; 1688921564; cliente3; 1688921564
0655ad38-1e79-11ee-a424-557cb373497c; 1688921564; buscar por productos; ini; 1688921565; cliente2; 1688921565
0655ad38-1e79-11ee-a424-557cb373497c; 1688921564; buscar por productos; fin; 1688921565; cliente2; 1688921565
08a32476-1e79-11ee-a424-557cb373497c; 1688921567; buscar por productos; ini; 1688921568; cliente2; 1688921568
08a32476-1e79-11ee-a424-557cb373497c; 1688921567; buscar por productos; fin; 1688921568; cliente2; 1688921568
08a24628-1e79-11ee-a424-557cb373497c; 1688921567; buscar por productos; ini; 1688921568; cliente1; 1688921568
08a24628-1e79-11ee-a424-557cb373497c; 1688921567; buscar por productos; fin; 1688921568; cliente1; 1688921568
08a3ac48-1e79-11ee-a424-557cb373497c; 1688921567; buscar por productos; ini; 1688921568; cliente3; 1688921568
08a3ac48-1e79-11ee-a424-557cb373497c; 1688921567; buscar por productos; fin; 1688921568; cliente3; 1688921568
0ab58894-1e79-11ee-a424-557cb373497c; 1688921571; buscar por productos; ini; 1688921571; cliente1; 1688921571
0ab58894-1e79-11ee-a424-557cb373497c; 1688921571; buscar por productos; fin; 1688921571; cliente1; 1688921571
0ab74634-1e79-11ee-a424-557cb373497c; 1688921571; buscar por productos; ini; 1688921571; cliente3; 1688921571
0ab74634-1e79-11ee-a424-557cb373497c; 1688921571; buscar por productos; fin; 1688921571; cliente3; 1688921571
0ab6aee0-1e79-11ee-a424-557cb373497c; 1688921571; buscar por productos; ini; 1688921572; cliente2; 1688921572
0ab6aee0-1e79-11ee-a424-557cb373497c; 1688921571; buscar por productos; fin; 1688921572; cliente2; 1688921572
2280f80a-1e79-11ee-a424-557cb373497c; 1688921611; buscar por categorias; ini; 1688921611; cliente1; 1688921611
2280f80a-1e79-11ee-a424-557cb373497c; 1688921611; buscar por categorias; fin; 1688921611; cliente1; 1688921611
2282d1de-1e79-11ee-a424-557cb373497c; 1688921611; buscar por categorias; ini; 1688921611; cliente3; 1688921611
2282d1de-1e79-11ee-a424-557cb373497c; 1688921611; buscar por categorias; fin; 1688921611; cliente3; 1688921611
2281c654-1e79-11ee-a424-557cb373497c; 1688921611; buscar por categorias; ini; 1688921612; cliente2; 1688921612
2281c654-1e79-11ee-a424-557cb373497c; 1688921611; buscar por categorias; fin; 1688921612; cliente2; 1688921612
250465f8-1e79-11ee-a424-557cb373497c; 1688921615; buscar por categorias; ini; 1688921615; cliente1; 1688921615
250465f8-1e79-11ee-a424-557cb373497c; 1688921615; buscar por categorias; fin; 1688921615; cliente1; 1688921615
2505eafe-1e79-11ee-a424-557cb373497c; 1688921615; buscar por categorias; ini; 1688921615; cliente3; 1688921615
2505eafe-1e79-11ee-a424-557cb373497c; 1688921615; buscar por categorias; fin; 1688921615; cliente3; 1688921615
250510c0-1e79-11ee-a424-557cb373497c; 1688921615; buscar por categorias; ini; 1688921616; cliente2; 1688921616
250510c0-1e79-11ee-a424-557cb373497c; 1688921615; buscar por categorias; fin; 1688921616; cliente2; 1688921616
2768534a-1e79-11ee-a424-557cb373497c; 1688921619; buscar por categorias; ini; 1688921619; cliente1; 1688921619
2768534a-1e79-11ee-a424-557cb373497c; 1688921619; buscar por categorias; fin; 1688921619; cliente1; 1688921619
2769af88-1e79-11ee-a424-557cb373497c; 1688921619; buscar por categorias; ini; 1688921619; cliente3; 1688921619
2769af88-1e79-11ee-a424-557cb373497c; 1688921619; buscar por categorias; fin; 1688921619; cliente3; 1688921619
2769070e-1e79-11ee-a424-557cb373497c; 1688921619; buscar por categorias; ini; 1688921620; cliente2; 1688921620
2769070e-1e79-11ee-a424-557cb373497c; 1688921619; buscar por categorias; fin; 1688921620; cliente2; 1688921620
2a43f790-1e79-11ee-a424-557cb373497c; 1688921624; buscar por categorias; ini; 1688921624; cliente1; 1688921624
2a43f790-1e79-11ee-a424-557cb373497c; 1688921624; buscar por categorias; fin; 1688921624; cliente1; 1688921624
